course_title,institution,link,course_type,course_duration,competency_1,proficiency_levels_1,competency_2,proficiency_levels_2,competency_3,proficiency_levels_3,competency_4,proficiency_levels_4,competency_5,proficiency_levels_5,competency_6,proficiency_levels_6,competency_7,proficiency_levels_7,competency_8,proficiency_levels_8,competency_9,proficiency_levels_9,competency_10,proficiency_levels_10,competency_11,proficiency_levels_11,competency_12,proficiency_levels_12,competency_13,proficiency_levels_13,competency_14,proficiency_levels_14,competency_15,proficiency_levels_15,competency_16,proficiency_levels_16,competency_17,proficiency_levels_17,competency_18,proficiency_levels_18,competency_19,proficiency_levels_19,competency_20,proficiency_levels_20,competency_21,proficiency_levels_21,competency_22,proficiency_levels_22,competency_23,proficiency_levels_23,competency_24,proficiency_levels_24,competency_25,proficiency_levels_25,competency_26,proficiency_levels_26,competency_27,proficiency_levels_27,competency_28,proficiency_levels_28,competency_29,proficiency_levels_29,competency_30,proficiency_levels_30,competency_31,proficiency_levels_31,competency_32,proficiency_levels_32,competency_33,proficiency_levels_33,competency_34,proficiency_levels_34,competency_35,proficiency_levels_35,competency_36,proficiency_levels_36,competency_37,proficiency_levels_37,competency_38,proficiency_levels_38,competency_39,proficiency_levels_39,competency_40,proficiency_levels_40,competency_41,proficiency_levels_41,competency_42,proficiency_levels_42,competency_43,proficiency_levels_43,competency_44,proficiency_levels_44,competency_45,proficiency_levels_45,competency_46,proficiency_levels_46,competency_47,proficiency_levels_47,competency_48,proficiency_levels_48,competency_49,proficiency_levels_49,competency_50,proficiency_levels_50
PEBU 0636 Fraud Examination,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409648,,,Audit Reporting,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0738 Advanced Topics in Fraud,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409042,,,Decision Support - Audit Execution,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0771 Audit Analytics,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409048,,,Decision Support - Audit Execution,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0461 Fundamentals of Government Auditing Standards and Practices,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409050,,,Audit Planning and Management,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Formulation (BUDG7101),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/BUDG7101,,,Fundamentals and Operations of Budget,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting for Revolving Funds and Reimbursables,Management Concepts,https://www.managementconcepts.com/course/id/5102?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Accounting Concepts, Policies and Principles","1,2,3",Fundamentals and Operations of Accounting,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgeting and Accounting: Making the Connection,Management Concepts,https://www.managementconcepts.com/course/id/5106?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Accounting Concepts, Policies and Principles","1,2,3","Budget Concepts, Policies and Principles","1,2,3","Budget Formulation, Justification, and Presentation",1,Financial Reporting,"1,2",Fundamentals and Operations of Accounting,"1,2,3",Fundamentals and Operations of Budget,"1,2",Accountability,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Financial Management Overview,Management Concepts,https://www.managementconcepts.com/course/id/5051?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Accounting Concepts, Policies and Principles","1,2,3",Budget Execution,"1,2,3",Financial Management Systems,1,Financial Reporting,"1,2",Fundamentals and Operations of Finance,"1,2","Budget Concepts, Policies and Principles","2,3","Financial Concepts, Policies and Principles","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Accounting Fundamentals,Management Concepts,https://www.managementconcepts.com/course/id/5113?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Accounting Concepts, Policies and Principles","1,2,3",Financial Reporting,"1,2",Fundamentals and Operations of Accounting,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Standard General Ledger: Practical Applications,Management Concepts,https://www.managementconcepts.com/course/id/5115?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Accounting Concepts, Policies and Principles","1,2,3",Fundamentals and Operations of Accounting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Control: Meeting Federal Requirements for Accountability,Management Concepts,https://www.managementconcepts.com/course/id/5112?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Accounting Concepts, Policies and Principles","1,2,3",Advanced Financial Management,"2,3",Financial Stewardship,"2,3,4",Integrity and Honesty,"2,3",Attention to Detail,"3,4","Audit Concepts, Policies and Principles",3,Business Process Improvement,"3,4","Financial Concepts, Policies and Principles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriations Law Seminar,Management Concepts,https://www.managementconcepts.com/course/id/5111?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Advanced Financial Management,"1,2,3","Budget Concepts, Policies and Principles","2,3",Financial Stewardship,"2,3,4",Budget Execution,"3,4,5","Financial Concepts, Policies and Principles","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management Principles,Management Concepts,https://www.managementconcepts.com/course/id/6100?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Attention to Detail,"1,2,3","Financial Concepts, Policies and Principles","1,2",Project Management,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Boot Camp,Management Concepts,https://www.managementconcepts.com/course/id/5820?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Audit Concepts, Policies and Principles","1,2","Accounting Concepts, Policies and Principles","2,3",Audit Planning and Management,"1,2",Audit Reporting,"1,2",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditing Fundamentals in the Federal Environment,Management Concepts,https://www.managementconcepts.com/course/id/5882?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Audit Concepts, Policies and Principles","1,2,3",Audit Reporting,"2,3",Decision Support - Audit Execution,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Control for Managers,Management Concepts,https://www.managementconcepts.com/course/id/5142?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Audit Concepts, Policies and Principles","1,2",Integrity and Honesty,"2,3,4",Financial Stewardship,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Formulation,Management Concepts,https://www.managementconcepts.com/course/id/5118?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Concepts, Policies and Principles","1,2,3,4",Budget Execution,1,"Budget Formulation, Justification, and Presentation","1,2,3,4",Accountability,"2,3",Financial Management Analysis,"2,3",Fundamentals and Operations of Budget,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Justification: Effective Preparation and Submission,Management Concepts,https://www.managementconcepts.com/course/id/5120?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Concepts, Policies and Principles","1,2,3","Budget Formulation, Justification, and Presentation","1,2,3,4",Written Communications,1,"Financial Concepts, Policies and Principles","2,3",Fundamentals and Operations of Budget,"2,3",Attention to Detail,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PPBE Workshop: Defense Planning, Programming, Budgeting, and Execution",Management Concepts,https://www.managementconcepts.com/course/id/5123?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Concepts, Policies and Principles","1,2,3",Budget Execution,"1,2,3","Budget Formulation, Justification, and Presentation","1,2,3","Financial Concepts, Policies and Principles","2,3",Fundamentals and Operations of Budget,"2,3",Financial Management Analysis,"2,3",Financial Stewardship,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management of Revolving Funds and Reimbursables,Management Concepts,https://www.managementconcepts.com/course/id/5134?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Concepts, Policies and Principles","1,2,3","Budget Formulation, Justification, and Presentation","2,3",Financial Stewardship,"2,3",Budget Execution,"3,4",Financial Management Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FPM 133 - Fundamentals of Business, Cost, & Financial Management",Management Concepts,https://www.managementconcepts.com/course/id/6877?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Concepts, Policies and Principles",1,"Financial Concepts, Policies and Principles",1,Fundamentals and Operations of Budget,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Legislative Process: Working with Congress,Management Concepts,https://www.managementconcepts.com/course/id/5189?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Concepts, Policies and Principles","1,2",Budget Execution,"1,2","Budget Formulation, Justification, and Presentation","2,3",Enterprise Perspective,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budget Analyst's Essential Guide to Formulation, Justification, and Execution",Management Concepts,https://www.managementconcepts.com/course/id/5321?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Budget Execution,"1,2,3,4","Budget Formulation, Justification, and Presentation","1,2,3,4","Financial Concepts, Policies and Principles","2,3",Accounting Analysis,"2,3",Financial Management Analysis,"2,3",Financial Stewardship,"2,3",Fundamentals and Operations of Budget,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Federal Budget Process,Management Concepts,https://www.managementconcepts.com/course/id/5090?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Budget Execution,"1,2,3",Accountability,"2,3",Fundamentals and Operations of Budget,"2,3",Financial Stewardship,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FPM 233 - Applications in Business, Cost & Financial Management",Management Concepts,https://www.managementconcepts.com/course/id/6887?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Budget Execution,"1,2",Fundamentals and Operations of Budget,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army PPBES Workshop,Management Concepts,https://www.managementconcepts.com/course/id/5730?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Budget Execution,"1,2,3","Budget Formulation, Justification, and Presentation","1,2,3",Accountability,"2,3",Fundamentals and Operations of Budget,"2,3",Financial Management Analysis,"2,3",Financial Stewardship,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Estimating Using Microsoft Excel,Management Concepts,https://www.managementconcepts.com/course/id/5155?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Budget Formulation, Justification, and Presentation","1,2,3",Technology Proficiency,1,Financial Management Analysis,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improper Payments,Management Concepts,https://www.managementconcepts.com/course/id/5036?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Commercial Pay Concepts, Policies and Principles","1,2,3",Fundamentals and Operations of Finance,1,"Accounting Concepts, Policies and Principles","2,3",Decision Support,"2,3",Accounting Analysis,3,"Financial Concepts, Policies and Principles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership Skills and Techniques,Management Concepts,https://www.managementconcepts.com/course/id/4001?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Conflict Management,1,Team Building,1,Resilience,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPM 132 - Fundamentals of Contracting,Management Concepts,https://www.managementconcepts.com/course/id/6878?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Contract Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPM 232 - Applications in Contracting,Management Concepts,https://www.managementconcepts.com/course/id/6888?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Contract Management,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Federal Contracting,Management Concepts,https://www.managementconcepts.com/course/id/1048?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Contract Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriations Law for Contracting Professionals,Management Concepts,https://www.managementconcepts.com/course/id/1051?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Contract Management,"1,2,3",Budget Execution,2,"Financial Concepts, Policies and Principles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPM 331 - Progressive Concepts in Program Management,Management Concepts,https://www.managementconcepts.com/course/id/6894?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Critical Thinking,"1,2,4",Enterprise Perspective,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Stakeholder Expectations and Relationships,Management Concepts,https://www.managementconcepts.com/course/id/6162?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Customer Service,"1,2,4",Influencing and Negotiating,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analysis and Modeling Techniques,Management Concepts,https://www.managementconcepts.com/course/id/4615?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Data Analytics, Management, and Visualization","1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluating and Presenting Analysis Results,Management Concepts,https://www.managementconcepts.com/course/id/4665?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Data Analytics, Management, and Visualization","1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Data Visualization,Management Concepts,https://www.managementconcepts.com/course/id/4606?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Data Analytics, Management, and Visualization","1,2,3",Problem Solving,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Making,Management Concepts,https://www.managementconcepts.com/course/id/4645?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Decision Making,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Thinking for Problem Solving,Management Concepts,https://www.managementconcepts.com/course/id/4060?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Decision Making,1,Learning,3,Critical Thinking,3,Problem Solving,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analysis for Financial Managers Using Microsoft Excel,Management Concepts,https://www.managementconcepts.com/course/id/5318?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Decision Support,"1,2,3,4",Financial Management Analysis,"2,3,4",Critical Thinking,3,"Data Analytics, Management, and Visualization",3,Decision Making,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data-Driven Decision Making,Management Concepts,https://www.managementconcepts.com/course/id/4604?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Decision Support,"1,2,3",Decision Making,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supporting Professional Growth in Organizations,Management Concepts,https://www.managementconcepts.com/course/id/4918?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Developing Others,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Relations,Management Concepts,https://www.managementconcepts.com/course/id/4917?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Developing Others,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriations Law for Revolving Funds and Reimbursables,Management Concepts,https://www.managementconcepts.com/course/id/5147?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Financial Concepts, Policies and Principles","1,2,3","Budget Concepts, Policies and Principles","2,3",Advanced Financial Management,"2,3",Budget Execution,"3,4,5",Financial Management Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Travel Regulation Workshop - TDY,Management Concepts,https://www.managementconcepts.com/course/id/5080?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joint Travel Regulations Workshop - TDY,Management Concepts,https://www.managementconcepts.com/course/id/5081?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership and Management Skills for Non-Managers,Management Concepts,https://www.managementconcepts.com/course/id/4000?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Financial Concepts, Policies and Principles",1,Mission and Culture,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Managing Scope, Schedule, and Cost",Management Concepts,https://www.managementconcepts.com/course/id/6135?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,"Financial Concepts, Policies and Principles","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prompt Payment Act and Voucher Examination,Management Concepts,https://www.managementconcepts.com/course/id/5136?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Fundamentals and Operations of Accounting,"1,2,3",Fundamentals and Operations of Finance,"1,2,3","Commercial Pay Concepts, Policies and Principles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FPM 333 - Progressive Business, Cost and Financial Management",Management Concepts,https://www.managementconcepts.com/course/id/6892?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Fundamentals and Operations of Budget,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supervisor's Workshop,Management Concepts,https://www.managementconcepts.com/course/id/4723?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Human Capital Management,1,Developing Others,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR Boot Camp,Management Concepts,https://www.managementconcepts.com/course/id/4908?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Human Capital Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership and Communication Skills for Project Leaders,Management Concepts,https://www.managementconcepts.com/course/id/6101?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Influencing and Negotiating,"1,2",Interpersonal Skills,"1,2",Conflict Management,"3,4",Oral Communications,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Contract Negotiation Techniques,Management Concepts,https://www.managementconcepts.com/course/id/1016?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Influencing and Negotiating,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overview of Internal Control Guidance,Management Concepts,https://www.managementconcepts.com/course/id/5108?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Integrity and Honesty,1,Advanced Financial Management,"2,3",Financial Stewardship,3,Audit Planning and Management,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeping the Audit on Track: Critical Skills for Audit Managers,Management Concepts,https://www.managementconcepts.com/course/id/5824?utm_source=CFOportal&utm_medium=listing&utm_campaign=CFOTTEP&utm_id=23FM,,,Interpersonal Skills,"1,2,3",Influencing and Negotiating,3,Team Building,3,Developing Others,5,Decision Support - Audit Execution,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
