job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0510 Accounting,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",37 Business Analytics: Data-driven Decision Making (with Rotman School of Management at the University of Toronto)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-data-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",37 Business Analytics: Data-driven Decision Making (with Rotman School of Management at the University of Toronto)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-data-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",37 Business Analytics: Data-driven Decision Making (with Rotman School of Management at the University of Toronto)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-data-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",38 Professional Certificate in Data Engineering (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-in-data-science-and-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",38 Professional Certificate in Data Engineering (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-in-data-science-and-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",38 Professional Certificate in Data Engineering (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-in-data-science-and-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",38 Professional Certificate in Data Engineering (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://executive-ed.xpro.mit.edu/professional-certificate-in-data-science-and-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",39 Professional Certificate in Data Science and Analytics (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://online-execed.wharton.upenn.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",39 Professional Certificate in Data Science and Analytics (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://online-execed.wharton.upenn.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",39 Professional Certificate in Data Science and Analytics (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://online-execed.wharton.upenn.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",39 Professional Certificate in Data Science and Analytics (with MIT xPRO)%%%Emeritus%%%Level 5 - Expert|||https://online-execed.wharton.upenn.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",40 Business Analytics: From Data to Insights (with Wharton Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://online.em.jbs.cam.ac.uk/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",40 Business Analytics: From Data to Insights (with Wharton Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://online.em.jbs.cam.ac.uk/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",40 Business Analytics: From Data to Insights (with Wharton Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://online.em.jbs.cam.ac.uk/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",40 Business Analytics: From Data to Insights (with Wharton Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://online.em.jbs.cam.ac.uk/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",41 Business Analytics: Decision-Making Using Data (with Cambridge Judge Business School)%%%Emeritus%%%Level 5 - Expert|||https://online.em.kellogg.northwestern.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",41 Business Analytics: Decision-Making Using Data (with Cambridge Judge Business School)%%%Emeritus%%%Level 5 - Expert|||https://online.em.kellogg.northwestern.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",41 Business Analytics: Decision-Making Using Data (with Cambridge Judge Business School)%%%Emeritus%%%Level 5 - Expert|||https://online.em.kellogg.northwestern.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",41 Business Analytics: Decision-Making Using Data (with Cambridge Judge Business School)%%%Emeritus%%%Level 5 - Expert|||https://online.em.kellogg.northwestern.edu/business-analytics/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",42 Business Analytics: Decision Making with Data (with Northwestern University Kellogg School of Management Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://em-executive.berkeley.edu/business-analytics-leaders/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",42 Business Analytics: Decision Making with Data (with Northwestern University Kellogg School of Management Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://em-executive.berkeley.edu/business-analytics-leaders/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",42 Business Analytics: Decision Making with Data (with Northwestern University Kellogg School of Management Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://em-executive.berkeley.edu/business-analytics-leaders/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines impacts of complex data analysis and modeling solutions to make difficult decisions and engage with stakeholders ? Translates and explains complex data in straightforward terms for stakeholder consumption ?                                                                                                                                                                                                          Trains, coaches, or champions the use of data visualization within an organization ?",42 Business Analytics: Decision Making with Data (with Northwestern University Kellogg School of Management Executive Education)%%%Emeritus%%%Level 5 - Expert|||https://em-executive.berkeley.edu/business-analytics-leaders/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,43 Business Analytics for Leaders - From Data to Decisions (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/data-strategy/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,43 Business Analytics for Leaders - From Data to Decisions (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/data-strategy/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,43 Business Analytics for Leaders - From Data to Decisions (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/data-strategy/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,43 Business Analytics for Leaders - From Data to Decisions (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/data-strategy/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,44 Data Strategy: Leveraging Data as a Competitive Advantage (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,44 Data Strategy: Leveraging Data as a Competitive Advantage (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,44 Data Strategy: Leveraging Data as a Competitive Advantage (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and tools used to manage and analyze data in order to make conclusions about that information; identifies trends and metrics from large data sets; presents data in a visually clear way to enable decision makers to identify patterns and grasp difficult concepts.",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers ? Designs and develops innovative data visualizations to explain complex relationships present in data ?,44 Data Strategy: Leveraging Data as a Competitive Advantage (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and techniques associated with software that can be easily implemented to replace/perform basic, repetitive tasks (e.g., processing transactions, gathering and integrating data, responding to inquiries) across software applications.",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Interprets and evaluates data using a variety of analytical and modeling methods to assess relationships and potential outcomes 
 Draws accurate conclusions by choosing the appropriate data sources, metrics, and analyses                                                                                                                                                                                                                                              Builds data visualizations to provide insights into data analyses","45 Digital Transformation: Leading People, Data & Technology (with UC Berkeley Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/robotics-essentials/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~"
0510 Accounting,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and techniques associated with software that can be easily implemented to replace/perform basic, repetitive tasks (e.g., processing transactions, gathering and integrating data, responding to inquiries) across software applications.",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Interprets and evaluates data using a variety of analytical and modeling methods to assess relationships and potential outcomes 
 Draws accurate conclusions by choosing the appropriate data sources, metrics, and analyses                                                                                                                                                                                                                                              Builds data visualizations to provide insights into data analyses","45 Digital Transformation: Leading People, Data & Technology (with UC Berkeley Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/robotics-essentials/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~"
0511 Auditing,Mid,Job Specific Competencies,"Data Analytics, Management, and Visualization",Secondary,"Knowledge of principles, procedures, and techniques associated with software that can be easily implemented to replace/perform basic, repetitive tasks (e.g., processing transactions, gathering and integrating data, responding to inquiries) across software applications.",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Interprets and evaluates data using a variety of analytical and modeling methods to assess relationships and potential outcomes 
